LocationDetailsId	Neighborhoods	Zipcode	Location
SD002609	Haight Ashbury	94117	"(37.7702166084238, -122.43883397822505)"
SD002610	Visitacion Valley	94134	"(37.71430399170384, -122.4091061329378)"
SD002611	Oceanview/Merced/Ingleside	94132	"(37.720516299726036, -122.47103976511434)"
SD002612	Excelsior	94134	"(37.72792497215978, -122.42043639923494)"
SD002613	Castro/Upper Market	94114	"(37.75684591709762, -122.44386287251075)"
SD002614	Outer Richmond	94121	"(37.774106446757294, -122.50761545422547)"
SD002615	West of Twin Peaks	94127	"(37.734546607468616, -122.45117854378955)"
SD002616	Western Addition	94115	"(37.78053272094533, -122.44090307358327)"
SD002617	Excelsior	94112	"(37.724509592329575, -122.42332332024588)"
SD002618	Outer Richmond	94121	"(37.781214611514805, -122.48126261367585)"
SD002619	Sunset/Parkside	94116	"(37.74055963653149, -122.49531460826987)"
SD002620	Noe Valley	94114	"(37.75189538006284, -122.43440864147637)"
SD002621	Russian Hill	94109	"(37.799615061153474, -122.42046297515444)"
SD002622	Castro/Upper Market	94114	"(37.758141241556096, -122.44299108221608)"
SD002623	Potrero Hill	94107	"(37.752135529825054, -122.40206132582264)"
SD002624	Sunset/Parkside	94122	"(37.760486379766284, -122.49970169576191)"
SD002625	Castro/Upper Market	94114	"(37.756559306373276, -122.43598460037356)"
SD002626	North Beach	94133	"(37.806051861120736, -122.41507435315813)"
SD002627	Mission	94110	"(37.75859141165302, -122.40846296327967)"
SD002628	South of Market	94103	"(37.77849930526994, -122.41048579446085)"
SD002629	Inner Sunset	94122	"(37.76177599078571, -122.46260378330403)"
SD002630	Sunset/Parkside	94122	"(37.753250601397724, -122.48318126046738)"
SD002631	Outer Richmond	94121	"(37.775388136373884, -122.50132669688061)"
SD002632	Excelsior	94112	"(37.71321076106113, -122.43664350422596)"
SD002633	Marina	94123	"(37.80223970453405, -122.44130454671405)"
SD002634	North Beach	94133	"(37.80329276356926, -122.41288979250511)"
SD002635	Bernal Heights	94110	"(37.743688151311495, -122.42069145151915)"
SD002636	Sunset/Parkside	94122	"(37.75910027959335, -122.48400793714994)"
SD002637	Mission	94110	"(37.75314805486974, -122.40669074861343)"
SD002638	Lone Mountain/USF	94118	"(37.781324221377076, -122.4491953357325)"
SD002639	Haight Ashbury	94117	"(37.767269690216835, -122.44991533238309)"
SD002640	Marina	94123	"(37.79991959317225, -122.43804543742576)"
SD002641	Noe Valley	94131	"(37.74661741135194, -122.42773890193794)"
SD002642	Outer Richmond	94121	"(37.78355596755003, -122.48677035716514)"
SD002643	Bayview Hunters Point	94124	"(37.72027475700116, -122.39286989751064)"
SD002644	Mission	94110	"(37.75831432262097, -122.41385437197206)"
SD002645	Presidio Heights	94115	"(37.78446156906219, -122.44340444260659)"
SD002646	Castro/Upper Market	94117	"(37.76775942978374, -122.43708288921597)"
SD002647	Mission	94110	"(37.75149086244734, -122.42424419628875)"
SD002648	Outer Mission	94112	"(37.730154906227014, -122.4312165074734)"
SD002649	Oceanview/Merced/Ingleside	94112	"(37.716879909712596, -122.45675547194092)"
SD002650	Sunset/Parkside	94132	"(37.73363570007798, -122.49265095664958)"
SD002651	Russian Hill	94109	"(37.799127248978344, -122.42128006090618)"
SD002652	Portola	94134	"(37.720046988519364, -122.40450704829914)"
SD002653	Bayview Hunters Point	94124	"(37.728799057896474, -122.36801132616502)"
SD002654	West of Twin Peaks	94127	"(37.73606809599373, -122.44968013649716)"
SD002655	West of Twin Peaks	94127	"(37.735404209790346, -122.45242348667948)"
SD002656	Castro/Upper Market	94114	"(37.756179290614085, -122.43659486882005)"
SD002657	South of Market	94103	"(37.77610390578167, -122.41007153896211)"
SD002658	Castro/Upper Market	94114	"(37.76639982169282, -122.42754065604743)"
SD002659	Visitacion Valley	94134	"(37.715985299920845, -122.40069993713323)"
SD002660	Bayview Hunters Point	94124	"(37.73368384972068, -122.38354718867585)"
SD002661	Noe Valley	94114	"(37.748677447429486, -122.42820542281613)"
SD002662	Mission Bay	94103	"(37.76677236225068, -122.40209438308784)"
SD002663	Sunset/Parkside	94116	"(37.746807024978615, -122.5035707935121)"
SD002664	Hayes Valley	94117	"(37.7719363273706, -122.42958428942674)"
SD002665	West of Twin Peaks	94116	"(37.741922486972506, -122.47093489847674)"
SD002666	Mission	94110	"(37.754907619215444, -122.40999547082743)"
SD002667	Haight Ashbury	94117	"(37.76944388064776, -122.43740380151642)"
SD002668	Bernal Heights	94112	"(37.73234174470968, -122.42438515048812)"
SD002669	Inner Sunset	94117	"(37.76138007742834, -122.45026117981256)"
SD002670	Bernal Heights	94110	"(37.74080142514961, -122.41807359953174)"
SD002671	Bernal Heights	94110	"(37.743345150923815, -122.42062265784057)"
SD002672	West of Twin Peaks	94127	"(37.736885810088324, -122.46988815195002)"
SD002673	Excelsior	94112	"(37.716698858956875, -122.43831331304074)"
SD002674	Mission	94110	"(37.75548272975435, -122.42205965111043)"
SD002675	Nob Hill	94108	"(37.79375245946531, -122.41237334632372)"
SD002676	Outer Richmond	94121	"(37.77376741375986, -122.48030649772691)"
SD002677	Inner Sunset	94114	"(37.75998272664227, -122.44664687082746)"
SD002678	Chinatown	94111	"(37.79381360355833, -122.40385158501817)"
SD002679	Lone Mountain/USF	94117	"(37.7734563668194, -122.44653053568081)"
SD002680	Sunset/Parkside	94122	"(37.75993830585309, -122.49656553660783)"
SD002681	Inner Richmond	94118	"(37.78315404982272, -122.46906019598637)"
SD002682	Outer Richmond	94118	"(37.783210313035596, -122.47382246830814)"
SD002683	Pacific Heights	94109	"(37.7917623640785, -122.42403012247718)"
SD002684	Outer Mission	94112	"(37.71669207801957, -122.4466338960261)"
SD002685	Marina	94123	"(37.80066721585056, -122.43199982203245)"
SD002686	Bernal Heights	94110	"(37.734017180934444, -122.41543538781575)"
SD002687	Potrero Hill	94107	"(37.761466773139375, -122.40291397367336)"
SD002688	Marina	94123	"(37.795341360338554, -122.43645241140341)"
SD002689	Bayview Hunters Point	94124	"(37.729385775955166, -122.38334664653661)"
SD002690	Twin Peaks	94131	"(37.753762945469276, -122.44290111451626)"
SD002691	West of Twin Peaks	94127	"(37.72544384236359, -122.46824701152114)"
SD002692	Excelsior	94112	"(37.714085501457866, -122.43959036948313)"
SD002693	Noe Valley	94114	"(37.75584865695265, -122.43540864573174)"
SD002694	Inner Richmond	94118	"(37.787405981660264, -122.46440454686663)"
SD002695	Mission	94110	"(37.75213364534498, -122.40973117215673)"
SD002696	Russian Hill	94109	"(37.80216598051239, -122.42331798335431)"
SD002697	West of Twin Peaks	94116	"(37.7487020982744, -122.46917425049372)"
SD002698	Haight Ashbury	94117	"(37.76384972275705, -122.44896927538781)"
SD002699	Bayview Hunters Point	94124	"(37.71179555128596, -122.38463627743205)"
SD002700	Hayes Valley	94102	"(37.773952617368856, -122.42800174477064)"
SD002701	Sunset/Parkside	94122	"(37.76237778579186, -122.48208695364957)"
SD002702	Marina	94123	"(37.80074304542285, -122.43511850692329)"
SD002703	North Beach	94133	"(37.80034835415673, -122.40850599597562)"
SD002704	West of Twin Peaks	94127	"(37.73881918698744, -122.45916457576367)"
SD002705	Noe Valley	94110	"(37.74365624529606, -122.42333867577682)"
SD002706	Seacliff	94121	"(37.78668535324876, -122.4876875996298)"
SD002707	Noe Valley	94131	"(37.74478292446016, -122.4260666336481)"
SD002708	Lone Mountain/USF	94117	"(37.7736112016685, -122.45073834220452)"
SD002709	Outer Richmond	94121	"(37.778572427883, -122.4924786667878)"
SD002710	Oceanview/Merced/Ingleside	94112	"(37.72161987610483, -122.45834321002394)"
SD002711	Excelsior	94112	"(37.710015233160554, -122.43028492271382)"
SD002712	West of Twin Peaks	94127	"(37.733743222947176, -122.47099611897248)"
SD002713	Mission	94110	"(37.75036330270123, -122.41914383389226)"
SD002714	Bayview Hunters Point	94124	"(37.729186179202564, -122.38299497650364)"
SD002715	Bernal Heights	94110	"(37.74199398479554, -122.41995947914656)"
SD002716	Inner Richmond	94118	"(37.78530128138099, -122.46599007918338)"
SD002717	Tenderloin	94109	"(37.78456730578717, -122.41753652718633)"
SD002718	Oceanview/Merced/Ingleside	94132	"(37.71720121679152, -122.46505710785061)"
SD002719	Bernal Heights	94112	"(37.73199602481863, -122.4260859719617)"
SD002720	Marina	94123	"(37.80536367496935, -122.44343365764871)"
SD002721	Inner Richmond	94118	"(37.78126228293107, -122.46575794158251)"
SD002722	Inner Sunset	94122	"(37.76567730665806, -122.46246141259624)"
SD002723	Castro/Upper Market	94114	"(37.759925877794956, -122.4341179664559)"
SD002724	Sunset/Parkside	94116	"(37.741611005887115, -122.4909689488432)"
SD002725	Bayview Hunters Point	94124	"(37.73354909708977, -122.38902763333058)"
SD002726	West of Twin Peaks	94131	"(37.73212034112182, -122.44255315586483)"
SD002727	Bernal Heights	94110	"(37.74466282917878, -122.41012083386204)"
SD002728	Bayview Hunters Point	94124	"(37.73099167401356, -122.38951570507693)"
SD002729	Marina	94123	"(37.795352346528695, -122.43636598162331)"
SD002730	Nob Hill	94133	"(37.79750303112415, -122.4139423257594)"
SD002731	Castro/Upper Market	94114	"(37.76172348572062, -122.4432543738447)"
SD002732	West of Twin Peaks	94127	"(37.734334533739904, -122.45594038956143)"
SD002733	Presidio Heights	94118	"(37.784383101061565, -122.45218728384862)"
SD002734	Russian Hill	94109	"(37.793179920606846, -122.42006029831995)"
SD002735	Haight Ashbury	94117	"(37.761654447768066, -122.45160680426943)"
SD002736	Sunset/Parkside	94116	"(37.74694093161418, -122.48811259570293)"
SD002737	Outer Richmond	94121	"(37.77989117271859, -122.50273792914982)"
SD002738	Mission Bay	94107	"(37.765507862541845, -122.3965820079059)"
SD002739	Pacific Heights	94123	"(37.79468397899678, -122.43526476831109)"
SD002740	Marina	94123	"(37.80248151575606, -122.44304911326608)"
SD002741	South of Market	94103	"(37.77674348365286, -122.40823971582444)"
SD002742	Western Addition	94115	"(37.779536625615734, -122.43728224329145)"
SD002743	Outer Mission	94112	"(37.72714490015527, -122.44327657943253)"
SD002744	Mission	94110	"(37.764484559975614, -122.41328765477847)"
SD002745	Russian Hill	94109	"(37.802440787593845, -122.41834332959303)"
SD002746	Tenderloin	94109	"(37.78661845965923, -122.42010249488834)"
SD002747	Mission	94110	"(37.76104264366911, -122.41892772752138)"
SD002748	West of Twin Peaks	94127	"(37.73493631351944, -122.46061628903118)"
SD002749	Oceanview/Merced/Ingleside	94112	"(37.71785984944, -122.44968318581394)"
SD002750	Noe Valley	94114	"(37.752920580750455, -122.4261285952819)"
SD002751	Outer Richmond	94118	"(37.783744733589394, -122.47341805739944)"
SD002752	Outer Richmond	94121	"(37.78342196439937, -122.47712201156934)"
SD002753	South of Market	94103	"(37.77593735456791, -122.41280113768853)"
SD002754	Oceanview/Merced/Ingleside	94112	"(37.71515171292238, -122.46063588791729)"
SD002755	West of Twin Peaks	94127	"(37.74448758703153, -122.45985409136401)"
SD002756	Marina	94123	"(37.804233976840806, -122.44402882841759)"
SD002757	Haight Ashbury	94117	"(37.76806156814286, -122.44548470021854)"
SD002758	Bayview Hunters Point	94124	"(37.740182566687615, -122.3976994737624)"
SD002759	West of Twin Peaks	94131	"(37.731351142382955, -122.43777894541323)"
SD002760	West of Twin Peaks	94116	"(37.748743986730695, -122.46209287935825)"
SD002761	Noe Valley	94114	"(37.75007080979947, -122.43201903600831)"
SD002762	Oceanview/Merced/Ingleside	94132	"(37.714551053519564, -122.4630963787221)"
SD002763	Western Addition	94115	"(37.77818080142042, -122.43703035178655)"
SD002764	Sunset/Parkside	94122	"(37.75778209566908, -122.48577130198342)"
SD002765	Noe Valley	94114	"(37.75539229047912, -122.42748498710084)"
SD002766	Glen Park	94131	"(37.73912921020303, -122.43767611487496)"
SD002767	Haight Ashbury	94117	"(37.771251534351556, -122.43490911654457)"
SD002768	Nob Hill	94109	"(37.79458087333278, -122.41591984241188)"
SD002769	Inner Sunset	94116	"(37.75218878429034, -122.47232121569807)"
SD002770	Twin Peaks	94131	"(37.75573098484962, -122.44082729332084)"
SD002771	Bayview Hunters Point	94124	"(37.73754457779118, -122.39166424691484)"
SD002772	Marina	94123	"(37.79779329509902, -122.44270128490147)"
SD002773	Excelsior	94112	"(37.71743878131231, -122.43780159650304)"
SD002774	Nob Hill	94109	"(37.78862740731317, -122.41727844187108)"
SD002775	Marina	94123	"(37.79638295564341, -122.43126603314823)"
SD002776	Portola	94134	"(37.72548243946646, -122.40895149804427)"
SD002777	Sunset/Parkside	94122	"(37.75476075267343, -122.48370417272292)"
SD002778	Inner Richmond	94118	"(37.77827459781015, -122.46548966047001)"
SD002779	Mission	94110	"(37.75073315565742, -122.41357343269067)"
SD002780	Excelsior	94112	"(37.712414967419974, -122.43657880173957)"
SD002781	Outer Mission	94112	"(37.71843880117135, -122.44490771245677)"
SD002782	Inner Richmond	94118	"(37.783086860425485, -122.46702235220785)"
SD002783	Castro/Upper Market	94117	"(37.76768625944724, -122.4367477429116)"
SD002784	Haight Ashbury	94117	"(37.76842475579052, -122.44990319930932)"
SD002785	Noe Valley	94131	"(37.74649229991044, -122.42962433366797)"
SD002786	Castro/Upper Market	94114	"(37.757051202316354, -122.43650843993898)"
SD002787	Inner Richmond	94118	"(37.77544179871981, -122.4677197349691)"
SD002788	Nob Hill	94109	"(37.79076485232069, -122.42110680347197)"
SD002789	Outer Richmond	94121	"(37.780163362005545, -122.49945654727836)"
SD002790	Sunset/Parkside	94122	"(37.76291550009262, -122.5075058970332)"
SD002791	Marina	94123	"(37.800204065414015, -122.42907845155598)"
SD002792	Lone Mountain/USF	94118	"(37.77966091008443, -122.45805959290905)"
SD002793	Sunset/Parkside	94116	"(37.73771443879702, -122.50402795948955)"
SD002794	Inner Richmond	94118	"(37.779475814732514, -122.4611253314233)"
SD002795	Noe Valley	94114	"(37.75545737757224, -122.4297052562749)"
SD002796	Sunset/Parkside	94132	"(37.73325141165009, -122.47954818528319)"
SD002797	Sunset/Parkside	94122	"(37.753679354374405, -122.48342918110433)"
SD002798	Glen Park	94131	"(37.73595628468435, -122.43368733806771)"
SD002799	Nob Hill	94108	"(37.793232329206596, -122.41146589833032)"
SD002800	Potrero Hill	94107	"(37.75668461661924, -122.4024537900823)"
SD002801	Bayview Hunters Point	94134	"(37.71150838462759, -122.39770313175035)"
SD002802	West of Twin Peaks	94127	"(37.73047162755852, -122.46387438326477)"
SD002803	Portola	94134	"(37.722838355496854, -122.40748789683215)"
SD002804	Financial District/South Beach	94107	"(37.781752599054755, -122.39569322165066)"
SD002805	Inner Richmond	94118	"(37.78134541096798, -122.46674399860848)"
SD002806	Sunset/Parkside	94122	"(37.7638711058467, -122.50688140104029)"
SD002807	South of Market	94107	"(37.779578201189935, -122.40364668655457)"
SD002808	Presidio Heights	94118	"(37.78518233900838, -122.45836172293986)"
SD002809	Pacific Heights	94123	"(37.7948395026239, -122.44381484944718)"
SD002810	Mission	94110	"(37.75789144875192, -122.42212851722586)"
SD002811	Portola	94134	"(37.724372128859386, -122.41560517783341)"
SD002812	Sunset/Parkside	94122	"(37.75424953298437, -122.50623931086713)"
SD002813	Haight Ashbury	94117	"(37.770762127562946, -122.45184046838122)"
SD002814	Nob Hill	94133	"(37.79777309055804, -122.41313647921218)"
SD002815	Oceanview/Merced/Ingleside	94112	"(37.716847038034224, -122.46130510728058)"
SD002816	Mission	94110	"(37.753685620817144, -122.41551796525184)"
SD002817	Mission Bay	94107	"(37.775083383306516, -122.4001216359915)"
SD002818	South of Market	94103	"(37.770542922477674, -122.40815518758647)"
SD002819	South of Market	94103	"(37.78009628645714, -122.40799200939159)"
SD002820	Inner Richmond	94118	"(37.78468831766615, -122.46105785467277)"
SD002821	Bayview Hunters Point	94124	"(37.7332774672798, -122.39076042099073)"
SD002822	Tenderloin	94109	"(37.78650128102713, -122.4203723039916)"
SD002823	Castro/Upper Market	94114	"(37.76525566055763, -122.43393860460779)"
SD002824	Excelsior	94112	"(37.71447344544928, -122.43525319664614)"
SD002825	Bernal Heights	94110	"(37.742643520121064, -122.41897801845003)"
SD002826	Castro/Upper Market	94114	"(37.76786475345748, -122.430466660065)"
SD002827	Noe Valley	94131	"(37.74479539808742, -122.4258439385354)"
SD002828	West of Twin Peaks	94116	"(37.7445081322849, -122.46597205891953)"
SD002829	Noe Valley	94131	"(37.74325572690369, -122.4299238074442)"
SD002830	Noe Valley	94131	"(37.747405803296196, -122.42897992754148)"
SD002831	Inner Richmond	94118	"(37.77380994920292, -122.46624218949927)"
SD002832	Pacific Heights	94115	"(37.78850498146223, -122.44250643286864)"
SD002833	West of Twin Peaks	94127	"(37.72664675914053, -122.46893131083058)"
SD002834	Noe Valley	94114	"(37.75555740127901, -122.42593570415984)"
SD002835	Mission	94110	"(37.76052754538274, -122.41787960355214)"
SD002836	West of Twin Peaks	94116	"(37.74788356030455, -122.46980455189245)"
SD002837	Glen Park	94131	"(37.73450334960565, -122.43139433694067)"
SD002838	Pacific Heights	94109	"(37.792105020522044, -122.4253809334275)"
SD002839	Potrero Hill	94107	"(37.759064296826445, -122.38966864971825)"
SD002840	Noe Valley	94114	"(37.7518883746206, -122.4308675850464)"
SD002841	Russian Hill	94109	"(37.79953538439252, -122.42219775884544)"
SD002842	Tenderloin	94102	"(37.77614807365752, -122.41857751240534)"
SD002843	Inner Richmond	94118	"(37.77446615281963, -122.46240593841902)"
SD002844	Oceanview/Merced/Ingleside	94112	"(37.71468997351167, -122.45349753012806)"
SD002845	Excelsior	94112	"(37.71209928171404, -122.43731791572375)"
SD002846	Russian Hill	94133	"(37.79920149738202, -122.41360467987732)"
SD002847	Marina	94123	"(37.80371437732564, -122.43897574554704)"
SD002848	Marina	94123	"(37.797555895852675, -122.42908846141235)"
SD002849	Haight Ashbury	94117	"(37.765498703138974, -122.44393333059739)"
SD002850	North Beach	94133	"(37.800567110702715, -122.40406474546228)"
SD002851	West of Twin Peaks	94127	"(37.744544915117764, -122.4550932481434)"
SD002852	Mission	94110	"(37.754948528151814, -122.42280064815178)"
SD002853	West of Twin Peaks	94127	"(37.7426827485808, -122.45699163388953)"
SD002854	West of Twin Peaks	94112	"(37.7296452487018, -122.44555838396975)"
SD002855	Presidio Heights	94118	"(37.78989090478891, -122.44986821840493)"
SD002856	Potrero Hill	94107	"(37.7563727292387, -122.39853623806076)"
SD002857	Mission	94103	"(37.770002352128714, -122.42367789875456)"
SD002858	Inner Sunset	94122	"(37.76413401333117, -122.4768363434678)"
SD002859	Sunset/Parkside	94116	"(37.74551749455413, -122.48264155388904)"
SD002860	West of Twin Peaks	94112	"(37.72861247539751, -122.44628835953644)"
SD002861	Glen Park	94131	"(37.73615401600882, -122.42973898480659)"
SD002862	Outer Richmond	94121	"(37.78028028590867, -122.48739020397254)"
SD002863	Outer Richmond	94121	"(37.77804174537566, -122.50641775717729)"
SD002864	Sunset/Parkside	94116	"(37.7427430536317, -122.48830098718345)"
SD002865	Outer Richmond	94121	"(37.77256282114138, -122.50494444040913)"
SD002866	Bernal Heights	94110	"(37.73439461405349, -122.41858957567005)"
SD002867	Mission	94110	"(37.75258244475682, -122.40680927014883)"
SD002868	Sunset/Parkside	94116	"(37.747659947145074, -122.50477038486225)"
SD002869	McLaren Park	94134	"(37.719695049790275, -122.40720184394384)"
SD002870	Noe Valley	94131	"(37.744104382865686, -122.43536615486738)"
SD002871	Sunset/Parkside	94122	"(37.76196456620799, -122.50773462853817)"
SD002872	Marina	94123	"(37.79628168434621, -122.44586440954936)"
SD002873	Castro/Upper Market	94114	"(37.76583668941306, -122.43768355280103)"
SD002874	Bernal Heights	94110	"(37.73526916598649, -122.42061328330371)"
SD002875	Russian Hill	94109	"(37.79418664770346, -122.41835437003164)"
SD002876	Twin Peaks	94131	"(37.75027685484835, -122.44604548793792)"
SD002877	Pacific Heights	94115	"(37.78975105529957, -122.43933035509836)"
SD002878	Presidio Heights	94118	"(37.787913974097144, -122.45127249731843)"
SD002879	Excelsior	94112	"(37.71690274694683, -122.43017430073299)"
SD002880	Outer Mission	94112	"(37.72642912124832, -122.43470284898478)"
SD002881	Castro/Upper Market	94114	"(37.757311749180936, -122.43727306181738)"
SD002882	Marina	94123	"(37.79625004203568, -122.43972784852996)"
SD002883	Pacific Heights	94115	"(37.79052153335492, -122.44491456892534)"
SD002884	Castro/Upper Market	94114	"(37.75987499060658, -122.42922353770817)"
SD002885	Outer Mission	94112	"(37.711647459751205, -122.44648196694844)"
SD002886	Tenderloin	94102	"(37.78190831962872, -122.41530961944777)"
SD002887	Inner Richmond	94118	"(37.787229700123845, -122.46547325297605)"
SD002888	Outer Richmond	94121	"(37.77396732105331, -122.50933296948779)"
SD002889	West of Twin Peaks	94112	"(37.72632266907057, -122.45789016295576)"
SD002890	Bernal Heights	94110	"(37.74187254264873, -122.40900613540347)"
SD002891	Bayview Hunters Point	94134	"(37.71271527840802, -122.3974088786381)"
SD002892	Haight Ashbury	94117	"(37.76732482175131, -122.45089436224725)"
SD002893	Sunset/Parkside	94122	"(37.753596914262275, -122.50685119989996)"
SD002894	Bayview Hunters Point	94124	"(37.733406199675265, -122.39749860916938)"
SD002895	Inner Richmond	94118	"(37.78391531702103, -122.46845981157897)"
SD002896	Sunset/Parkside	94132	"(37.7330349746289, -122.49674813279847)"
SD002897	Haight Ashbury	94117	"(37.76286064743687, -122.4466246189297)"
SD002898	Sunset/Parkside	94116	"(37.73931622902883, -122.47898271995477)"
SD002899	Castro/Upper Market	94114	"(37.76305157585263, -122.4360527463753)"
SD002900	Outer Richmond	94121	"(37.7716790861803, -122.50691620463478)"
SD002901	Haight Ashbury	94117	"(37.76738823782494, -122.44703894230267)"
SD002902	Bernal Heights	94110	"(37.73595396200873, -122.41931194493333)"
SD002903	Hayes Valley	94117	"(37.76961048489461, -122.43068696665671)"
SD002904	Sunset/Parkside	94122	"(37.76020577752624, -122.48581959264241)"
SD002905	Potrero Hill	94107	"(37.75912239007786, -122.3929312336992)"
SD002906	Hayes Valley	94117	"(37.77455240036499, -122.43804028138123)"
SD002907	Bayview Hunters Point	94124	"(37.73394169300786, -122.39304445415486)"
SD002908	Noe Valley	94131	"(37.74430987436199, -122.43396323666401)"
SD002909	Mission	94110	"(37.75785888120381, -122.42266745055741)"
SD002910	Mission	94110	"(37.75600620229926, -122.41294411128077)"
SD002911	Glen Park	94131	"(37.738094596194614, -122.42709238068494)"
SD002912	Excelsior	94112	"(37.72544583106468, -122.42915968153106)"
SD002913	Pacific Heights	94115	"(37.79200034440287, -122.43578716837513)"
SD002914	Inner Sunset	94122	"(37.7636715371708, -122.46905586154313)"
SD002915	Mission	94103	"(37.76785528331613, -122.4224844061066)"
SD002916	Pacific Heights	94115	"(37.79385396562234, -122.43580784180324)"
SD002917	West of Twin Peaks	94116	"(37.74731817868119, -122.46299764163048)"
SD002918	West of Twin Peaks	94127	"(37.740469412515445, -122.46710222458276)"
SD002919	Inner Richmond	94118	"(37.78541793775557, -122.46493211829566)"
SD002920	Glen Park	94131	"(37.73920395602238, -122.42959588287943)"
SD002921	Inner Sunset	94122	"(37.75928344932124, -122.46738354042)"
SD002922	Bernal Heights	94110	"(37.74737156614846, -122.41314385104043)"
SD002923	Presidio Heights	94118	"(37.78677209808475, -122.45311227228424)"
SD002924	Sunset/Parkside	94122	"(37.75233715306694, -122.50073056115765)"
SD002925	Sunset/Parkside	94132	"(37.73152656911593, -122.4864921108676)"
SD002926	Lone Mountain/USF	94117	"(37.772738186721, -122.45028137350992)"
SD002927	Bernal Heights	94110	"(37.73447382591894, -122.41936899779459)"
SD002928	Lone Mountain/USF	94117	"(37.77460338868029, -122.454319441744)"
SD002929	Sunset/Parkside	94122	"(37.754862372815204, -122.48758057148692)"
SD002930	Oceanview/Merced/Ingleside	94112	"(37.71772547350955, -122.4569394954552)"
SD002931	Bayview Hunters Point	94124	"(37.73032808677952, -122.38393639762334)"
SD002932	West of Twin Peaks	94131	"(37.73539801526121, -122.44349380121623)"
SD002933	Bernal Heights	94110	"(37.74691571493949, -122.41445473699993)"
SD002934	Sunset/Parkside	94122	"(37.754193712525904, -122.48345483942221)"
SD002935	West of Twin Peaks	94127	"(37.73399215768706, -122.45766390761447)"
SD002936	Sunset/Parkside	94122	"(37.75743519941484, -122.50604684371834)"
SD002937	Outer Richmond	94121	"(37.77356483335756, -122.48459257176191)"
SD002938	Noe Valley	94114	"(37.75029573757089, -122.43324472745876)"
SD002939	Seacliff	94118	"(37.7864524552064, -122.47503770815543)"
SD002940	West of Twin Peaks	94127	"(37.74090435185173, -122.45709286556587)"
SD002941	West of Twin Peaks	94127	"(37.72661844706878, -122.46952543726621)"
SD002942	Sunset/Parkside	94116	"(37.75144408565905, -122.47660822399406)"
SD002943	Castro/Upper Market	94114	"(37.76085342508363, -122.43152901802671)"
SD002944	Seacliff	94121	"(37.78821915379437, -122.48730418718762)"
SD002945	Noe Valley	94114	"(37.751447881539825, -122.42547972895754)"
SD002946	Excelsior	94112	"(37.72479840173786, -122.42964929011168)"
SD002947	Excelsior	94112	"(37.7212596840501, -122.43595306456142)"
SD002948	Bayview Hunters Point	94124	"(37.72992730458934, -122.38930449376856)"
SD002949	West of Twin Peaks	94127	"(37.74368820086264, -122.4565819241551)"
SD002950	Oceanview/Merced/Ingleside	94112	"(37.7183282060234, -122.45995878903882)"
SD002951	Excelsior	94112	"(37.70985859664469, -122.43139444568335)"
SD002952	Outer Richmond	94121	"(37.774260534093855, -122.48080314909019)"
SD002953	Financial District/South Beach	94104	"(37.791390539398336, -122.40285868505585)"
SD002954	Nob Hill	94109	"(37.787975029764894, -122.41703330727664)"
SD002955	Mission	94103	"(37.76720358354561, -122.42470637554676)"
SD002956	Outer Mission	94112	"(37.71803289802767, -122.44509074171918)"
SD002957	Potrero Hill	94107	"(37.76115128255883, -122.40266531447114)"
SD002958	Noe Valley	94131	"(37.743926218302846, -122.43212850627935)"
SD002959	Outer Richmond	94121	"(37.77997341319883, -122.49399582495577)"
SD002960	West of Twin Peaks	94127	"(37.73342374893548, -122.4655169875235)"
SD002961	Outer Mission	94112	"(37.70879764440554, -122.45885278420158)"
SD002962	Bayview Hunters Point	94124	"(37.72179641224576, -122.394955803216)"
SD002963	Outer Mission	94112	"(37.73368528103837, -122.43059136345994)"
SD002964	Sunset/Parkside	94116	"(37.74034459526393, -122.48974771608573)"
SD002965	Inner Richmond	94118	"(37.78181645847745, -122.46616146409329)"
SD002966	Castro/Upper Market	94114	"(37.7642632287387, -122.43560567038764)"
SD002967	Potrero Hill	94107	"(37.75808330284657, -122.38953181137931)"
SD002968	Sunset/Parkside	94116	"(37.73722570035654, -122.4886379474777)"
SD002969	Inner Sunset	94122	"(37.76188378171821, -122.46327060258795)"
SD002970	West of Twin Peaks	94116	"(37.74769807930674, -122.46031122459485)"
SD002971	Glen Park	94131	"(37.735468849484214, -122.43884423920848)"
SD002972	Sunset/Parkside	94116	"(37.74763118799319, -122.48493998236012)"
SD002973	Outer Mission	94112	"(37.72252427833652, -122.43717773585522)"
SD002974	Sunset/Parkside	94122	"(37.75861987335898, -122.48248192006763)"
SD002975	Sunset/Parkside	94122	"(37.753652610894356, -122.48474388721465)"
SD002976	Inner Sunset	94131	"(37.75867311353686, -122.46017642014051)"
SD002977	West of Twin Peaks	94127	"(37.73585790573949, -122.44664973464681)"
SD002978	Outer Richmond	94121	"(37.779121685529354, -122.49401184413628)"
SD002979	West of Twin Peaks	94127	"(37.738630366200255, -122.466238837466)"
SD002980	Nob Hill	94109	"(37.78799294424854, -122.4147866023532)"
SD002981	Bernal Heights	94110	"(37.74507537009272, -122.41095760980023)"
SD002982	Marina	94123	"(37.80228361064227, -122.44296501074841)"
SD002983	Glen Park	94131	"(37.73974969421883, -122.43945310518151)"
SD002984	Outer Richmond	94121	"(37.77273113702783, -122.50321936611817)"
